model,threshold,accuracy,precision,recall,f1,roc_auc
Random Forest,0.5,0.9811448605014289,0.4,0.44274809160305345,0.42028985507246375,0.9296509687659966
Logistic Regression,0.5,0.6558937041510768,0.0294415387211068,0.666030534351145,0.05639037001131039,0.7349732371012604
