threshold,precision,recall,f1
0.1,0.03433621154883972,0.9713740458015268,0.06632786030753193
0.11,0.03674751607247224,0.9599236641221374,0.07078525189980299
0.12,0.0400192092204258,0.9541984732824428,0.07681671531725304
0.13,0.04394426580921758,0.9389312977099237,0.08395904436860069
0.14,0.048328997398439065,0.9217557251908397,0.09184255561893896
0.15,0.05334385925341153,0.9026717557251909,0.10073474603343627
0.16,0.05900344080540334,0.8835877862595419,0.11061999761079919
0.17,0.0664626147791867,0.8702290076335878,0.12349356804333107
0.18,0.07551294988227379,0.8568702290076335,0.13879443585780527
0.19,0.08548168249660787,0.8416030534351145,0.15519971845856062
0.2,0.0951111111111111,0.816793893129771,0.17038216560509553
0.21,0.10618582519408966,0.8091603053435115,0.18773522249280497
0.22,0.11463550361713967,0.7862595419847328,0.20009713453132588
0.23,0.1235474006116208,0.7709923664122137,0.2129678439641539
0.24,0.13103217158176944,0.7461832061068703,0.22291904218928163
0.25,0.14035727305869486,0.7347328244274809,0.2356902356902357
0.26,0.15137067938021453,0.7270992366412213,0.2505754685958566
0.27,0.16179001721170397,0.7175572519083969,0.2640449438202247
0.28,0.1699074074074074,0.700381679389313,0.27347242921013415
0.29,0.18218218218218218,0.6946564885496184,0.28865979381443296
0.3,0.19197860962566846,0.6851145038167938,0.29991645781119464
0.31,0.20149253731343283,0.6698473282442748,0.30979699911738745
0.32,0.2092739475289811,0.6545801526717557,0.31715210355987056
0.33,0.22229508196721312,0.6469465648854962,0.3308931185944363
0.34,0.22985283812193413,0.6259541984732825,0.33623782675551
0.35,0.24246987951807228,0.6145038167938931,0.34773218142548595
0.36,0.2515974440894569,0.601145038167939,0.3547297297297297
0.37,0.2586352148272957,0.5858778625954199,0.35885447106955
0.38,0.26929982046678635,0.5725190839694656,0.3663003663003663
0.39,0.2848893166506256,0.5648854961832062,0.37875879718490085
0.4,0.2983706720977597,0.5591603053435115,0.3891102257636122
0.41,0.3062966915688367,0.5477099236641222,0.3928815879534565
0.42,0.3163265306122449,0.5324427480916031,0.3968705547652916
0.43,0.3249400479616307,0.517175572519084,0.39911634756995584
0.44,0.3312421580928482,0.5038167938931297,0.3996971990915973
0.45,0.34073107049608353,0.49809160305343514,0.4046511627906977
0.46,0.35399449035812675,0.4904580152671756,0.4112
0.47,0.37155297532656023,0.48854961832061067,0.4220939818631492
0.48,0.38544891640866874,0.4751908396946565,0.4256410256410256
0.49,0.3941368078175896,0.4618320610687023,0.4253075571177504
0.5,0.4,0.44274809160305345,0.42028985507246375
0.51,0.41454545454545455,0.4351145038167939,0.4245810055865922
0.52,0.4238921001926782,0.4198473282442748,0.4218600191754554
0.53,0.4323770491803279,0.4026717557251908,0.41699604743083
0.54,0.44543429844098,0.3816793893129771,0.41109969167523125
0.55,0.44418052256532065,0.3568702290076336,0.39576719576719577
0.56,0.4543147208121827,0.3416030534351145,0.3899782135076253
0.57,0.4679144385026738,0.33396946564885494,0.3897550111358575
0.58,0.49127906976744184,0.32251908396946566,0.38940092165898615
0.59,0.49085365853658536,0.30725190839694655,0.3779342723004695
0.6,0.4919093851132686,0.2900763358778626,0.36494597839135656
0.61,0.5104166666666666,0.28053435114503816,0.3620689655172414
0.62,0.5404411764705882,0.28053435114503816,0.3693467336683417
0.63,0.55,0.2729007633587786,0.3647959183673469
0.64,0.5596707818930041,0.2595419847328244,0.3546284224250326
0.65,0.569620253164557,0.25763358778625955,0.354796320630749
0.66,0.5874439461883408,0.25,0.3507362784471218
0.67,0.5915492957746479,0.24045801526717558,0.3419267299864315
0.68,0.6071428571428571,0.22709923664122136,0.33055555555555555
0.69,0.6042780748663101,0.21564885496183206,0.3178621659634318
0.7,0.6193181818181818,0.20801526717557253,0.31142857142857144
0.71,0.6309523809523809,0.20229007633587787,0.3063583815028902
0.72,0.64375,0.1965648854961832,0.30116959064327486
0.73,0.6577181208053692,0.18702290076335878,0.2912332838038633
0.74,0.6884057971014492,0.18129770992366412,0.28700906344410876
0.75,0.7251908396946565,0.18129770992366412,0.2900763358778626
0.76,0.71875,0.17557251908396945,0.2822085889570552
0.77,0.7589285714285714,0.16221374045801526,0.2672955974842767
0.78,0.7523809523809524,0.15076335877862596,0.25119236883942764
0.79,0.782608695652174,0.13740458015267176,0.23376623376623376
0.8,0.7777777777777778,0.12022900763358779,0.20826446280991737
0.81,0.8026315789473685,0.11641221374045801,0.20333333333333334
0.82,0.8108108108108109,0.11450381679389313,0.20066889632107024
0.83,0.8059701492537313,0.10305343511450382,0.18274111675126903
0.84,0.8253968253968254,0.09923664122137404,0.17717206132879046
0.85,0.8275862068965517,0.0916030534351145,0.16494845360824742
0.86,0.8076923076923077,0.08015267175572519,0.14583333333333334
0.87,0.7872340425531915,0.07061068702290077,0.1295971978984238
0.88,0.8048780487804879,0.06297709923664122,0.1168141592920354
0.89,0.8181818181818182,0.05152671755725191,0.09694793536804308
0.9,0.8214285714285714,0.04389312977099236,0.08333333333333333
