timestamp,ICMP loss,ICMP ping,ICMP response time,B12_ Bits_ received,B12_ Bits_ sent,B12_Duplex_ status,B12_ Inbound_ packets_ discarded,B12_ Inbound_ packets_ with_ errors,B12_Interface_ type,B12_ Operational_ status,B12_Outbound_ packets_ discarded,B12_Outbound_ packets_ with_ errors,B12_ Speed,B13_ Bits_ received,B13_ Bits_ sent,B13_ Duplex_ status,B13_ Inbound_ packets_ discarded,B13_ Inbound_ packets_ with_ errors,B13_ Interface type,B13_ Operational_ status,B13_ Outbound_ packets_ discarded,B13_Outbound_ packets_ with_ errors,B13_Speed,C3_ Bits_ received,C3_ Bits_ sent,C3_ Duplex_ status,C3_ Inbound_ packets_ discarded,C3_ Inbound_ packets_ with_ errors,C3_ Interface_ type,C3_Operational_ status,C3_ Outbound_ packets_ discarded,C3_ Outbound_ packets_ with_ errors,C3_ Speed,B14_Bits_ received,B14_ Bits_ sent,B14_Inbound_ packets_ discarded,B14_Inbound_ packets_ with_ errors,B14_Interface_ type,B14_ Operational_ status,B14_ Outbound_ packets_ discarded,B14_ Outbound_ packets_ with_ errors,B14_ Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1760264220,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,103,H,CORE-R6,5,3,1,1
1760264280,0,1,0.0657,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,121,H,CORE-R6,5,3,1,1
1760264340,0,1,0.0753,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,181,H,CORE-R6,5,3,1,1
1760264820,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,181,H,CORE-R6,5,3,1,1
1760264880,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,181,H,CORE-R6,5,3,1,1
1760264940,0,1,0.063366667,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,0,161,H,CORE-R6,5,3,1,1
1760265000,0,1,0.057133333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,192,H,CORE-R6,5,3,1,1
1760265060,0,1,0.057733333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,252,H,CORE-R6,5,3,1,1
1760265120,0,1,0.073633333,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,312,H,CORE-R6,5,3,1,1
1760265180,100,0,0,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,2,0,0,6,1,0,0,10000000,-1,-1,3,0,0,6,1,0,0,100000000,-1,-1,0,0,6,1,0,0,100000000,1,373,H,CORE-R6,5,3,1,1
